user_id,preferred_genres,favorite_tracks
user_1,"british,latin",Nevermore
user_2,"kids,reggaeton",Ela É a Bruta
user_3,"blues,club",Mec Mec 2
user_4,"british,trip-hop",Satisfy Me
user_5,"grindcore,edm",Dangerous - DJ Gollum Radio Edit
user_6,"funk,disco",Tarheel Boys
user_7,"kids,hard-rock",Fox on a Mission
user_8,"pop-film,sad",Mannipaaya
user_9,"children,sad",Billi Mausi
user_10,"chill,pagode",Camila Camila
user_11,"electro,punk",三人遊
user_12,"disco,groove",Take It
user_13,"hardstyle,folk",The Big Ship
user_14,"hardstyle,afrobeat",裸の旅人
user_15,"indian,hard-rock",Comptine D'un Autre Été
user_16,"latin,punk-rock",Doomswitch
user_17,"acoustic,progressive-house",No Me Ame
user_18,"industrial,grindcore",Electric Phantoms
user_19,"comedy,breakbeat",Vem Ver (Ao Vivo)
user_20,"disco,comedy",Thirupparang Kundrathil
user_21,"grindcore,british","Nazar Ke Samne (From ""Aashiqui"")"
user_22,"hardcore,ambient",Lang Zal Hij Leven
user_23,"j-dance,hard-rock",Quejas de Bandoneón
user_24,"study,industrial",Dunia Baru
user_25,"french,metalcore",HELLO (Original Version)
user_26,"sad,black-metal",원펀맨 Theme - Sad Theme
user_27,"show-tunes,spanish",Switchback
user_28,"j-idol,j-dance",One Hundred Precent of Dissin' You
user_29,"funk,edm",La nuit marche avec moi
user_30,"rock,idm",Da Music So Funky
user_31,"world-music,spanish",O Beijo E A Reza
user_32,"hardstyle,club",是但求其愛
user_33,"afrobeat,honky-tonk","Yo Soy Tu Padre, Yo Te Fabriqué"
user_34,"electronic,reggae",Caprice
user_35,"turkish,alt-rock",Eternity - you will never be forgotten
user_36,"j-rock,swedish",True Love
user_37,"mpb,punk-rock","The Nutcracker, Op. 71, TH 14: Overture - Live at Walt Disney Concert Hall, Los Angeles / 2013"
user_38,"death-metal,edm",Tú Me Delatas
user_39,"breakbeat,rock",出外人
user_40,"british,trance",Call Me Rusty
user_41,"classical,iranian",El Vago
user_42,"sad,synth-pop",再遇見
user_43,"indian,soul",Un Niche de las Tinieblas a la Luz
user_44,"ambient,french",This Fire in Me - Paul Lock Remix
user_45,"latino,dance",Roar of Chaos
user_46,"iranian,kids",Savannah Sunrise
user_47,"hip-hop,house",Esqueci / Amor à Três - Ao Vivo
user_48,"j-rock,chill",against
user_49,"electronic,trip-hop",Spektrum (feat. Ali Love)
user_50,"breakbeat,party",Moment To Moment
